,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
71,"[[0], [0, 1, 1], [0], [3, 3], [], [0, 0], [0, 0, 0], [8, 8, 6, 5, 4, 3, 7, 9, 1, 0, 7, 7, 5, 9, 8, 9, 7]]",0.6664567518261011,6,0.886+(((_sig_(0.543*(x[0]-79.10))))+((_sig_(0.775*(x[0]-98.97))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 2, 0, 2, 3, 17]"
72,"[[0], [1], [], [1], [], [0, 0], [0], [7, 2, 9, 9, 2, 2, 5, 3, 8, 5, 3]]",0.7030206878006534,5,0.729+((_exp_((x[0]-92.25)|_div_|38.53))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
73,"[[0], [1], [], [3], [], [0], [0, 0], [2, 9, 3, 2, 4, 6, 0, 2, 0, 4]]",0.7321327577004109,5,0.293+((_sig_(0.246*(x[0]-02.04)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
74,"[[0], [1], [], [3], [], [0], [0, 0], [8, 3, 8, 8, 5, 7, 4, 6, 6, 6]]",0.8059127161322129,5,0.838+((_sig_(0.857*(x[0]-46.66)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
75,"[[0], [1], [], [1], [], [0, 0], [0], [7, 4, 8, 7, 3, 0, 8, 8, 6, 4, 7]]",0.8724938288735336,5,0.748+((_exp_((x[0]-73.08)|_div_|86.47))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
76,"[[0], [1], [], [1], [], [0, 0], [0], [6, 0, 0, 6, 1, 2, 3, 2, 5, 2, 8]]",0.8891347713090082,5,0.600+((_exp_((x[0]-61.23)|_div_|25.28))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
77,"[[0], [1], [], [2], [], [0, 0], [0], [0, 2, 7, 3, 8, 7, 4, 3, 8, 2, 9]]",0.9033719757557747,5,0.027+((_exp_((x[0]-38.74)|_div_|38.29))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
78,"[[0], [1], [], [2], [], [0, 0], [0], [6, 7, 8, 4, 1, 0, 9, 9, 7, 8, 2]]",0.9673311076431771,5,0.678+((_exp_((x[0]-41.09)|_div_|97.82))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
79,"[[0], [0, 3, 3], [3], [], [0, 0], [], [0], [7, 7, 4]]",0.9731773688393488,4,0.774+((x[0])|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
80,"[[0], [1], [], [2], [], [0, 0], [0], [6, 6, 0, 3, 3, 9, 2, 6, 8, 8, 5]]",1.0275070082578612,5,0.660+((_exp_((x[0]-33.92)|_div_|68.85))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
81,"[[0], [1, 1], [], [0, 3], [], [0], [0, 0], [0, 9, 3, 1, 8, 5, 1, 3, 6, 8]]",1.1886796762230503,7,0.093+((_exp_((_sig_(0.185*(x[0]-13.68)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 1, 2, 10]"
82,"[[0], [1, 1], [], [0, 1], [], [0, 0], [0], [8, 9, 7, 8, 5, 8, 0, 3, 9, 6, 5]]",1.2225451712017026,7,0.897+((_exp_((_exp_((x[0]-85.80)|_div_|39.65))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 2, 1, 11]"
83,"[[0], [1, 1], [], [0, 2], [], [0, 0], [0], [7, 7, 3, 8, 5, 7, 3, 5, 5, 5, 6]]",1.2228631509055339,7,0.773+((_exp_((_exp_((x[0]-85.73)|_div_|55.56))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 2, 1, 11]"
84,"[[0], [1], [], [2], [], [0, 0], [0], [0, 4, 7, 0, 9, 3, 7, 4, 5, 8, 7]]",1.2327675076175355,5,0.047+((_exp_((x[0]-09.37)|_div_|45.87))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
85,"[[0], [1], [], [2], [], [0, 0], [0], [3, 3, 9, 0, 9, 4, 2, 3, 7, 4, 6]]",1.465419946972129,5,0.339+((_exp_((x[0]-09.42)|_div_|37.46))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
86,"[[0], [2], [], [], [], [0], [0], [2, 4, 8, 0, 6, 6, 1]]",2.014274125261205,4,0.248+(06.61),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
87,"[[0], [2], [], [], [], [0], [0], [8, 5, 3, 1, 1, 8, 9]]",2.573242161380126,4,0.853+(11.89),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
88,"[[0], [2], [], [], [], [0], [0], [2, 6, 2, 1, 7, 2, 1]]",2.8689576927701648,4,0.262+(17.21),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
89,"[[0], [2], [], [], [], [0], [0], [1, 7, 4, 2, 5, 9, 7]]",3.2538463907152084,4,0.174+(25.97),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
90,"[[0], [2], [], [], [], [0], [0], [1, 8, 8, 3, 3, 8, 8]]",3.5099732737637117,4,0.188+(33.88),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
91,"[[0], [0, 2, 3], [1], [], [0], [0], [0], [1, 4, 3, 5, 0, 2, 7]]",,5,0.143+((50.27)-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
92,"[[0], [3], [], [], [0], [], [0], [0, 7, 1]]",,3,0.071+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
93,"[[0], [0, 2, 2], [1], [], [], [0, 0], [0], [0, 4, 8, 7, 2, 6, 2, 5, 3, 3, 0]]",2.9666635281128437,5,0.048+((72.62)-(53.30)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 2, 1, 11]"
94,"[[0], [2], [], [], [], [0], [0], [0, 2, 6, 2, 8, 2, 9]]",3.3308218660701785,4,0.026+(28.29),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
95,"[[0], [2], [], [], [], [0], [0], [0, 9, 2, 6, 9, 4, 1]]",4.208312409770222,4,0.092+(69.41),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
