,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
381,"[[0], [3, 0, 1, 1, 0, 3, 0, 2, 2, 1, 1, 1], [1, 3, 0, 3, 2], [0, 1, 2, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [8, 5, 8, 0, 5, 5, 4, 3, 8, 8, 6, 6, 1, 7, 4, 9, 8, 7, 4, 8, 8, 2, 4, 8, 1, 2, 7, 8, 9, 2, 7, 9, 6, 3]]",512.5252474728809,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.858+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
382,"[[0], [0, 0, 1, 2, 3], [3, 0, 2, 3], [1, 1], [0, 0], [0, 0, 0], [0, 0], [0, 2, 0, 5, 4, 9, 8, 2, 7, 1, 7, 0, 2, 1, 6, 5, 3, 3, 4, 8, 8, 9]]",512.6331713856655,"[1, 5, 2, 1, 1, 3, 1, 15]",7,0.020+((((_exp_((x[0]-54.98)|_div_|27.17)))|_div_|(02.16))+(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
383,"[[0], [3, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 2, 1, 0, 0, 0, 0, 3, 2], [0, 0, 2, 2, 0, 2, 2, 0, 2, 3], [0, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0], [9, 2, 0, 0, 3, 3, 2, 6, 9, 2, 1, 3, 4, 6, 4, 3, 8, 9, 9, 8, 8, 5, 6, 5, 5, 5]]",513.0101868275642,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.920+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
384,"[[0], [3, 0, 1, 1, 2, 1, 2, 1], [3, 1, 0, 3], [0, 2, 0], [0, 0], [0, 0, 0, 0], [0, 0], [9, 2, 1, 1, 9, 8, 9, 5, 3, 3, 6, 1, 7, 1, 8, 0, 8, 3, 4, 8, 8, 9]]",513.0180101998018,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.921+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
385,"[[0], [3, 0, 1, 1, 1, 1, 1, 0, 3, 3, 2, 2, 2, 3, 0, 0], [2, 2, 0, 2, 3, 0, 3], [2, 0, 0, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [9, 2, 1, 2, 4, 1, 2, 8, 3, 5, 8, 3, 0, 0, 4, 9, 9, 2, 4, 8, 8, 9]]",513.0180101998018,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.921+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
386,"[[0], [0, 3, 0, 1, 1], [0, 3, 0, 3], [2, 1, 2], [0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 7, 2, 9, 2, 2, 9, 6, 6, 9, 1, 9, 4, 7, 9, 8, 0, 4, 8, 8, 9]]",516.3995696300077,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.037+((x[0])+(((_sig_(0.292*(x[0]-29.66))))|_div_|((_exp_((x[0]-91.94)|_div_|79.80))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
387,"[[0], [0, 0, 1, 1, 3, 3, 0, 0, 2, 1, 1, 2], [0, 0, 0, 3], [2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 2, 0, 1, 0, 9, 2, 6, 3, 4, 8, 6, 4, 6, 4, 8, 9, 2, 4, 8, 8, 9]]",518.5996094502171,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.020+((((_sig_(0.109*(x[0]-26.34))))+((_exp_((x[0]-86.46)|_div_|48.92))))+(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
388,"[[0], [2, 2, 1, 0, 0], [2, 2, 0, 3, 0, 2], [2, 1], [0, 0], [0, 0, 0, 0], [0, 0], [5, 2, 0, 5, 4, 3, 2, 6, 3, 8, 6, 1, 0, 1, 1, 7, 8, 2, 4, 8, 8, 5]]",519.799997175815,"[1, 1, 0, 0, 0, 1, 1, 7]",4,0.520+(54.32),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
389,"[[0], [2, 2, 1, 1, 3, 3, 1, 2, 2, 1, 1, 2], [2, 0, 2, 2, 0, 2, 2, 0, 2, 3], [2, 1, 1, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [3, 2, 0, 5, 4, 6, 2, 6, 8, 4, 1, 3, 2, 2, 0, 7, 6, 3, 4, 8, 8, 9, 5, 1, 1, 9, 0, 8, 1, 0, 4, 5, 6, 2, 8, 0, 3, 6, 6, 1, 4, 2, 3, 7, 5, 7, 1, 2, 4, 9, 9, 1, 0, 1, 3, 2]]",520.7486803777132,"[1, 1, 0, 0, 0, 1, 1, 7]",4,0.320+(54.62),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
390,"[[0], [0, 0, 2, 0, 2, 3, 1, 2, 2, 1, 1, 2], [3, 3, 0, 3], [2, 1, 1, 2], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0], [0, 1, 9, 2, 4, 5, 2, 2, 4, 1, 8, 3, 2, 1, 0, 0, 3, 7, 4, 8, 8, 9]]",521.0808439452387,"[1, 7, 3, 1, 1, 3, 2, 18]",7,0.019+(((24.52)|_div_|((24.18)|_div_|(x[0])))+((_sig_(0.321*(x[0]-00.37))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
