,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
34,"[[0], [1], [], [3], [], [0], [0, 0], [0, 6, 9, 3, 0, 9, 1, 8, 5, 2]]",0.8852006853662605,5,0.069+((_sig_(0.309*(x[0]-18.52)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
35,"[[0], [1], [], [3], [], [0], [0, 0], [7, 1, 8, 1, 4, 2, 7, 7, 3, 0]]",0.8855668018248479,5,0.718+((_sig_(0.142*(x[0]-77.30)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
36,"[[0], [0, 2, 3], [3], [], [0], [0], [0], [2, 5, 6, 0, 5, 4, 2]]",0.8936824365231322,5,0.256+((05.42)|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
37,"[[0], [1], [], [3], [], [0], [0, 0], [5, 7, 9, 9, 2, 9, 6, 7, 6, 6]]",0.8961228470912356,5,0.579+((_sig_(0.929*(x[0]-67.66)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
38,"[[0], [1], [], [3], [], [0], [0, 0], [0, 6, 9, 5, 5, 9, 1, 5, 2, 8]]",0.9073352008738326,5,0.069+((_sig_(0.559*(x[0]-15.28)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
39,"[[0], [1], [], [2], [], [0, 0], [0], [5, 6, 1, 8, 7, 7, 6, 1, 0, 7, 3]]",0.9221575330112795,5,0.561+((_exp_((x[0]-87.76)|_div_|10.73))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
40,"[[0], [1], [], [3], [], [0], [0, 0], [5, 8, 6, 6, 4, 9, 6, 2, 7, 0]]",0.9615722801473918,5,0.586+((_sig_(0.649*(x[0]-62.70)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
41,"[[0], [0, 1, 1], [2], [1, 3], [], [0, 0, 0], [0, 0], [3, 2, 0, 7, 8, 5, 0, 9, 7, 2, 7, 4, 7, 6, 2, 2, 4, 2]]",0.9692850273247735,6,0.320+(((_exp_((x[0]-78.50)|_div_|97.27)))*((_sig_(0.476*(x[0]-22.42))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 2, 0, 3, 2, 18]"
42,"[[0], [1], [], [3], [], [0], [0, 0], [4, 2, 0, 7, 9, 9, 4, 6, 1, 1]]",0.9979279523701178,5,0.420+((_sig_(0.799*(x[0]-46.11)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
43,"[[0], [0, 2, 2], [1], [], [], [0, 0], [0], [1, 9, 5, 5, 7, 5, 9, 5, 6, 7, 3]]",1.0064790714399354,5,0.195+((57.59)-(56.73)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 2, 1, 11]"
