,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
462,"[[0], [0, 3, 3], [2], [], [0, 0], [], [], [0], [4, 1, 1]]",3894.658629345072,4,0.411+((x[0])*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 0, 1, 3]"
463,"[[0], [0, 3, 3], [2], [], [0, 0], [], [], [0], [7, 7, 2]]",3894.9225596050455,4,0.772+((x[0])*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 0, 1, 3]"
464,"[[0], [0, 2, 3], [2], [], [0], [], [0], [0], [7, 8, 7, 8, 4, 1, 3]]",4489.534434793075,5,0.787+((84.13)*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 0, 1, 1, 7]"
465,"[[0], [1, 2], [], [0], [], [], [0], [0], [1, 3, 6, 1, 1, 4, 9]]",97733.61985602492,6,0.136+((_exp_(11.49))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
466,"[[0], [1, 1], [], [0, 1], [], [], [0, 0], [0], [9, 7, 2, 4, 5, 8, 1, 2, 0, 5, 0]]",139380.58129884332,7,0.972+((_exp_((_exp_((x[0]-45.81)|_div_|20.50))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 0, 2, 1, 11]"
467,"[[0], [0, 3, 1], [0], [2], [0], [], [0, 0], [0], [4, 2, 7, 0, 2, 6, 4, 0, 6, 7, 6]]",278564.4125577262,6,0.427+((x[0])+((_exp_((x[0]-02.64)|_div_|06.76)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 0, 2, 1, 11]"
468,"[[0], [1, 2], [], [0], [], [], [0], [0], [2, 0, 0, 1, 7, 1, 3]]",27508345.944815144,6,0.200+((_exp_(17.13))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
469,"[[0], [1, 2], [], [0], [], [], [0], [0], [3, 2, 0, 2, 9, 5, 0]]",6481674477934.592,6,0.320+((_exp_(29.50))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
470,"[[0], [1, 1], [], [0, 1], [], [], [0, 0], [0], [9, 7, 0, 2, 6, 3, 2, 1, 8, 6, 8]]",2.821615219681517e+21,7,0.970+((_exp_((_exp_((x[0]-26.32)|_div_|18.68))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 0, 2, 1, 11]"
471,"[[0], [0, 1, 2, 3], [0], [0], [0], [], [0], [0], [3, 9, 7, 4, 9, 7, 6]]",4.078433820212375e+21,7,0.397+(((_exp_(49.76)))+(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 1, 0, 1, 1, 7]"
