,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
93,"[[0], [1], [], [1], [], [0, 0], [0], [4, 1, 0, 1, 1, 2, 1, 8, 0, 4, 2]]",19.502346245790566,5,0.410+((_exp_((x[0]-11.21)|_div_|80.42))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
94,"[[0], [1, 1], [], [0, 2], [], [0], [0, 0], [2, 2, 8, 0, 5, 5, 3, 8, 9, 0]]",19.52234925014454,7,0.228+((_exp_((_sig_(0.055*(x[0]-38.90)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 1, 2, 10]"
95,"[[0], [1], [], [1], [], [0, 0], [0], [4, 2, 0, 3, 0, 1, 2, 5, 1, 1, 1]]",19.980688042601372,5,0.420+((_exp_((x[0]-30.12)|_div_|51.11))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
96,"[[0], [1], [], [1], [], [0, 0], [0], [3, 7, 4, 1, 0, 2, 5, 7, 3, 9, 8]]",20.338029654812274,5,0.374+((_exp_((x[0]-10.25)|_div_|73.98))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
97,"[[0], [1], [], [1], [], [0, 0], [0], [3, 9, 5, 0, 9, 7, 0, 7, 5, 1, 8]]",20.45388820330781,5,0.395+((_exp_((x[0]-09.70)|_div_|75.18))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
98,"[[0], [1], [], [1], [], [0, 0], [0], [7, 1, 7, 3, 6, 7, 9, 5, 1, 1, 7]]",20.527634989519196,5,0.717+((_exp_((x[0]-36.79)|_div_|51.17))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
99,"[[0], [1], [], [1], [], [0, 0], [0], [1, 8, 7, 3, 4, 7, 1, 3, 8, 7, 7]]",20.806827177094597,5,0.187+((_exp_((x[0]-34.71)|_div_|38.77))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
100,"[[0], [1], [], [1], [], [0, 0], [0], [7, 0, 2, 1, 2, 5, 1, 8, 9, 5, 2]]",20.973300389547717,5,0.702+((_exp_((x[0]-12.51)|_div_|89.52))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
101,"[[0], [1, 2], [], [0], [], [0], [0], [6, 2, 3, 0, 0, 5, 0]]",21.094764611924287,6,0.623+((_exp_(00.50))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 1, 1, 7]"
102,"[[0], [1, 0, 1, 1], [2], [0, 2, 1], [], [0, 0, 0], [0, 0], [5, 5, 3, 7, 6, 7, 4, 5, 4, 0, 8, 8, 9, 8, 9, 2, 8, 9]]",21.365814157470687,8,0.553+((_exp_(((_sig_(0.767*(x[0]-45.40))))*((_exp_((x[0]-88.98)|_div_|92.89)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 3, 0, 3, 2, 18]"
103,"[[0], [1], [], [1], [], [0, 0], [0], [9, 0, 1, 3, 6, 1, 2, 5, 7, 8, 7]]",21.370876724098398,5,0.901+((_exp_((x[0]-36.12)|_div_|57.87))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
104,"[[0], [1, 1], [], [0, 2], [], [0], [0, 0], [2, 1, 9, 8, 4, 6, 4, 0, 9, 1]]",21.5237664816771,7,0.219+((_exp_((_sig_(0.846*(x[0]-40.91)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 1, 2, 10]"
105,"[[0], [1], [], [1], [], [0, 0], [0], [5, 5, 4, 1, 9, 0, 8, 5, 9, 9, 1]]",22.435084289355526,5,0.554+((_exp_((x[0]-19.08)|_div_|59.91))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
106,"[[0], [2], [], [], [], [0], [0], [8, 3, 1, 0, 1, 5, 9]]",22.510865162782412,4,0.831+(01.59),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
107,"[[0], [1], [], [1], [], [0, 0], [0], [9, 5, 9, 1, 0, 7, 0, 9, 6, 7, 7]]",23.06118461620241,5,0.959+((_exp_((x[0]-10.70)|_div_|96.77))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
108,"[[0], [2], [], [], [], [0], [0], [8, 8, 7, 0, 1, 6, 7]]",23.801008380829074,4,0.887+(01.67),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
109,"[[0], [0, 1, 2], [2], [2], [], [0, 0], [0, 0], [7, 9, 7, 1, 5, 4, 6, 9, 8, 7, 0, 5, 0, 2]]",24.472944955692633,6,0.797+(((_sig_(0.154*(x[0]-69.87))))*(05.02)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 2, 2, 14]"
110,"[[0], [1], [], [1], [], [0, 0], [0], [7, 3, 9, 1, 3, 1, 0, 6, 4, 9, 7]]",24.657113018014865,5,0.739+((_exp_((x[0]-13.10)|_div_|64.97))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
111,"[[0], [1], [], [1], [], [0, 0], [0], [7, 9, 0, 0, 5, 9, 8, 7, 6, 0, 1]]",24.770062977792715,5,0.790+((_exp_((x[0]-05.98)|_div_|76.01))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
112,"[[0], [1], [], [1], [], [0, 0], [0], [9, 9, 0, 3, 5, 6, 2, 3, 8, 5, 5]]",27.099263451304083,5,0.990+((_exp_((x[0]-35.62)|_div_|38.55))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
113,"[[0], [1], [], [1], [], [0, 0], [0], [4, 4, 5, 0, 6, 9, 9, 5, 4, 9, 6]]",27.608122240575874,5,0.445+((_exp_((x[0]-06.99)|_div_|54.96))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
114,"[[0], [2], [], [], [], [0], [0], [9, 9, 4, 0, 2, 3, 4]]",31.172005026927504,4,0.994+(02.34),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
115,"[[0], [2], [], [], [], [0], [0], [8, 6, 3, 0, 2, 9, 4]]",35.621219761593814,4,0.863+(02.94),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
116,"[[0], [1], [], [1], [], [0, 0], [0], [0, 1, 2, 0, 2, 4, 2, 4, 3, 3, 1]]",36.848379177574486,5,0.012+((_exp_((x[0]-02.42)|_div_|43.31))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
117,"[[0], [1], [], [1], [], [0, 0], [0], [9, 2, 4, 0, 3, 1, 0, 4, 3, 0, 3]]",44.11121794060169,5,0.924+((_exp_((x[0]-03.10)|_div_|43.03))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
118,"[[0], [1, 1], [], [0, 1], [], [0, 0], [0], [2, 5, 1, 3, 2, 4, 5, 7, 0, 5, 1]]",48.454229650545344,7,0.251+((_exp_((_exp_((x[0]-32.45)|_div_|70.51))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 2, 1, 11]"
119,"[[0], [1], [], [1], [], [0, 0], [0], [6, 1, 6, 5, 8, 4, 4, 1, 2, 9, 8]]",50.523649767400066,5,0.616+((_exp_((x[0]-58.44)|_div_|12.98))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
120,"[[0], [2], [], [], [], [0], [0], [2, 1, 7, 0, 5, 1, 8]]",50.74300200691456,4,0.217+(05.18),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
121,"[[0], [0, 2, 1], [2], [1], [], [0, 0, 0], [0], [8, 1, 5, 1, 1, 6, 0, 9, 1, 0, 9, 2, 3, 7, 8]]",51.04349825733094,6,0.815+((11.60)*((_exp_((x[0]-91.09)|_div_|23.78)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
122,"[[0], [1], [], [1], [], [0, 0], [0], [0, 1, 3, 6, 5, 4, 8, 0, 9, 9, 5]]",55.11209898909153,5,0.013+((_exp_((x[0]-65.48)|_div_|09.95))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
123,"[[0], [2], [], [], [], [0], [0], [1, 9, 5, 0, 6, 6, 6]]",64.57468868276783,4,0.195+(06.66),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
124,"[[0], [2], [], [], [], [0], [0], [7, 3, 3, 0, 6, 3, 3]]",66.54793734499567,4,0.733+(06.33),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
125,"[[0], [2], [], [], [], [0], [0], [8, 0, 2, 0, 6, 4, 5]]",68.34093796218774,4,0.802+(06.45),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
126,"[[0], [0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1], [1, 3, 0, 2], [0, 1, 1, 0, 2, 2], [], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [3, 5, 3, 3, 4, 8, 2, 5, 4, 5, 2, 8, 7, 9, 0, 1, 3, 9, 5, 3, 8, 7, 1, 3, 4, 8, 7, 8, 1, 8, 5, 2, 7, 4, 6, 0, 8]]",68.48914589719006,9,0.353+(((_exp_((_exp_((x[0]-34.82)|_div_|54.52)))))-((((_exp_((x[0]-87.90)|_div_|13.95)))|_div_|((_exp_(38.71))))+(((_sig_(0.348*(x[0]-78.18))))*((_sig_(0.527*(x[0]-46.08))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 11, 4, 6, 0, 7, 3, 37]"
127,"[[0], [0, 2, 1], [3], [1], [], [0, 0, 0], [0], [2, 6, 5, 0, 8, 9, 7, 1, 5, 3, 3, 9, 1, 6, 5]]",71.87360753844368,6,0.265+((08.97)|_div_|((_exp_((x[0]-15.33)|_div_|91.65)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
128,"[[0], [0, 0, 2, 3, 0, 0, 2, 2, 0, 2, 2], [0, 3, 0, 3, 1], [], [0], [0, 0, 0, 0, 0], [0], [0, 3, 0, 3, 9, 3, 3, 6, 5, 7, 5, 3, 9, 3, 7, 9, 0, 1, 5, 8, 0, 6, 2]]",75.97042424329393,7,0.030+(((39.33)+(x[0]))|_div_|(((65.75)+(39.37))|_div_|((90.15)-(80.62)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 11, 5, 0, 1, 5, 1, 23]"
129,"[[0], [2], [], [], [], [0], [0], [5, 5, 5, 0, 8, 6, 0]]",86.39429723646474,4,0.555+(08.60),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
130,"[[0], [2], [], [], [], [0], [0], [9, 1, 4, 0, 8, 4, 9]]",88.75651019701151,4,0.914+(08.49),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
131,"[[0], [2], [], [], [], [0], [0], [8, 7, 9, 0, 9, 0, 5]]",93.73708108802272,4,0.879+(09.05),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
