,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
10,"[[0], [1, 0, 0, 0, 2, 1, 2, 1, 3, 2, 1, 1, 2], [2, 1, 2], [1, 0, 0, 1, 0], [0, 0], [0, 0, 0, 0, 0], [2, 8, 0, 3, 1, 3, 3, 2, 7, 0]]",22.797268248490525,"[1, 13, 3, 5, 1, 5, 10]",11,2.8+(_exp_((((0.3)*(_exp_(-(1.3))))-(_exp_(-(x[0]))))*(3.2)))+(_exp_(_exp_(-(7.0)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [1, 0, 3, 3, 0, 1, 2, 1, 1, 3], [0, 2], [0, 1, 0, 0], [0, 0, 0], [0, 0, 0], [2, 2, 1, 0]]",22.808583950716166,"[1, 10, 2, 4, 3, 2, 4]",8,2.2+(_exp_(-((x[0])+(x[0]))))+((_exp_(1.0))*(_exp_(-(_exp_(-(x[0])))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [1, 2, 1, 1, 1, 3], [], [0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 3, 2, 4, 0, 5]]",22.821693948465605,"[1, 6, 0, 4, 1, 2, 4]",9,2.3+(_exp_(-(2.4)))+(_exp_(_exp_(-(_exp_(-(x[0])))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0, 2, 1, 3, 2], [1], [0, 1, 0, 0, 0, 0, 1], [0, 0], [0, 0, 0, 0], [1, 2, 1, 8, 1, 9, 8, 1, 8, 6, 6, 7, 5, 5]]",22.824683476074302,"[1, 5, 1, 1, 1, 3, 6]",6,1.2+((1.8)-(_exp_(-(x[0]))))+(1.9),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0, 1, 2, 1, 3, 2, 2, 1, 2], [1, 0], [0, 0, 0], [0], [0, 0, 0, 0], [2, 8, 0, 7, 1, 7, 3, 8]]",22.82607832315113,"[1, 6, 1, 2, 1, 3, 6]",7,2.8+((_exp_(-(0.7)))-(_exp_(-(x[0]))))+(1.7),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [1, 1, 0, 2, 3, 2], [1], [0, 1], [0], [0, 0, 0, 0], [3, 3, 0, 4, 0, 7, 2, 8]]",22.82946787485242,"[1, 6, 1, 2, 1, 3, 6]",9,3.3+(_exp_(-(_exp_((0.4)-(x[0])))))+(0.7),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [2, 0, 0, 2, 1, 0, 0, 2, 3, 3, 1, 0, 1, 3, 3, 1, 0], [1, 3, 0, 0, 3, 3], [0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [3, 4, 0, 1, 0, 5, 5, 3, 8, 0, 6, 5, 6, 6]]",22.834348444317342,"[1, 15, 5, 3, 4, 4, 8]",10,3.4+(0.1)+(((0.5)-(_exp_(-(((5.3)|_div_|(x[0]))+(x[0])))))+(_exp_(-((_exp_(-(x[0])))|_div_|(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [1, 1, 3, 2], [0, 2, 2, 0], [0, 0, 0, 1], [0, 0], [0, 0, 0], [0, 3, 3, 6, 3, 4]]",22.848241747311707,"[1, 4, 0, 2, 1, 2, 4]",7,0.3+(_exp_(-(_exp_(-(x[0])))))+(3.6),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [1, 1, 3, 2], [], [0, 0, 0, 1], [0, 0], [0, 0, 0], [0, 3, 3, 6, 3, 4]]",22.848241747311707,"[1, 4, 0, 2, 1, 2, 4]",7,0.3+(_exp_(-(_exp_(-(x[0])))))+(3.6),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [1, 1, 3, 2], [0, 2, 2, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0], [0, 3, 3, 6, 3, 4]]",22.848241747311707,"[1, 4, 0, 2, 1, 2, 4]",7,0.3+(_exp_(-(_exp_(-(x[0])))))+(3.6),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [1, 1, 3, 2], [], [0, 0], [0], [0, 0], [1, 6, 2, 4]]",22.848869404028637,"[1, 4, 0, 2, 1, 2, 4]",7,1.6+(_exp_(-(_exp_(-(x[0])))))+(2.4),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [1, 1, 3, 2, 0, 3, 1, 1, 1, 2, 2, 1, 2], [2, 2, 1], [0, 0, 0], [0, 0], [0, 0, 0, 0], [1, 6, 2, 4, 4, 3, 9, 6]]",22.848869404028637,"[1, 4, 0, 2, 1, 2, 4]",7,1.6+(_exp_(-(_exp_(-(x[0])))))+(2.4),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [2, 1, 1, 3, 3], [1, 1], [0, 0, 1], [0], [0, 0, 0], [2, 8, 1, 2]]",22.85236059606454,"[1, 4, 0, 2, 1, 2, 4]",7,2.8+(1.2)+(_exp_(-(_exp_(-(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [2, 1, 1, 3], [3, 3, 3, 0, 1], [0, 0], [0], [0, 0, 0, 0], [2, 5, 1, 5, 0, 6]]",22.85236059606454,"[1, 4, 0, 2, 1, 2, 4]",7,2.5+(1.5)+(_exp_(-(_exp_(-(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [1, 1, 3, 2], [1, 0], [0, 0, 0, 1, 0], [0], [0, 0, 0, 0], [3, 7, 0, 3, 1, 6, 3, 8]]",22.85236059606454,"[1, 4, 0, 2, 1, 2, 4]",7,3.7+(_exp_(-(_exp_(-(x[0])))))+(0.3),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [1, 1, 3, 2, 0, 2, 0, 2, 0, 1, 2, 2, 1, 2, 3, 3, 3, 1, 1, 1, 1, 3, 1, 2, 3, 1, 3, 2], [1, 1, 0, 3, 0, 1, 2], [0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [3, 8, 0, 2, 1, 7, 3, 8]]",22.85236059606454,"[1, 4, 0, 2, 1, 2, 4]",7,3.8+(_exp_(-(_exp_(-(x[0])))))+(0.2),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [1, 1, 3, 1, 0, 2, 0, 2, 0, 1, 2, 2, 1, 2, 3, 3, 3, 1, 1, 1, 1, 3, 1, 2, 3, 1, 3, 2], [1, 1, 0, 3, 0, 1, 2], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 6, 4, 4, 9, 5, 8, 5]]",22.852392641704768,"[1, 12, 3, 4, 1, 5, 10]",11,4.0+(_exp_(-(_exp_(-(x[0])))))+(_exp_(-((0.1)-((0.6)-((_exp_(-(4.4)))+(9.5)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [2, 1, 1, 3, 2], [0, 1, 0], [0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [2, 5, 1, 4, 2, 2, 3, 5]]",22.85984135635142,"[1, 4, 0, 2, 1, 2, 4]",7,2.5+(1.4)+(_exp_(-(_exp_(-(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
